Scenario,Num Peers,Join Rate,Churn Rate,Baseline,Network Avg Latency (ms),Network Cache Hit Ratio (%),Network Requests,Origin Requests,Jain's Index,Total Requests
Baseline,20,N/A,0,Yes,13.0,0.0,20,20,0.0,577
Baseline,50,N/A,0,Yes,13.0,0.0,50,50,0.0,1446
Baseline,100,N/A,0,Yes,13.0,0.0,100,100,0.0,2956
Baseline,200,N/A,0,Yes,13.0,0.0,200,200,0.0,5849
Flash Crowd,20,2.0,0,No,10.0,40.0,20,12,0.064,561
Flash Crowd,20,5.0,0,No,9.0,40.0,20,12,0.129,624
Flash Crowd,20,10.0,0,No,8.0,65.0,20,7,0.159,596
Flash Crowd,50,2.0,0,No,10.0,48.0,50,26,0.02,1480
Flash Crowd,50,5.0,0,No,10.0,52.0,50,24,0.071,1399
Flash Crowd,50,10.0,0,No,9.0,58.0,50,21,0.02,1446
Flash Crowd,100,2.0,0,No,9.0,59.0,100,41,0.011,3041
Flash Crowd,100,5.0,0,No,9.0,58.0,100,42,0.015,2929
Flash Crowd,100,10.0,0,No,10.0,50.0,100,50,0.013,2933
Flash Crowd,200,2.0,0,No,10.0,51.0,200,98,0.005,5877
Flash Crowd,200,5.0,0,No,10.0,47.5,200,105,0.005,5928
Flash Crowd,200,10.0,0,No,10.0,45.0,200,110,0.006,5903
High Churn,100,5.0,0,No,10.0,48.0,100,52,0.012,2907
High Churn,100,5.0,0.010,No,12.0,33.67,98,65,0.011,2365
High Churn,100,5.0,0.050,No,17.0,52.81,89,42,0.02,932
High Churn,100,5.0,0.100,No,22.0,56.98,86,37,0.014,451
Scalability,20,5.0,0,No,7.0,75.0,20,5,0.076,1190
Scalability,50,5.0,0,No,8.0,50.0,50,25,0.061,2954
Scalability,100,5.0,0,No,8.0,55.0,100,45,0.011,5899
Scalability,200,5.0,0,No,8.0,42.5,200,115,0.006,11654
Scalability,500,5.0,0,No,8.0,46.8,500,266,0.002,29816
